name,Headquarters,Employees,Industry,Founded At,Status,Total Funding,Funding Rounds,Number of Acquisitions,FY 2022-23 Revenue,Profit_Loss,Latest Funding Round,FY 2022-23 Expenses,Net Cash Flow From Operations
Groww,Bengaluru,1406,Fintech,2016,1,2929.48,7,2,1427.81,448.77,Series E,932.91,426.57
Groyyo,Gurugram,111,Deeptech,2021,1,391.25,4,0,509.83,-68.12,Debt Financing,577.84,-213.32
Gupshup,Mumbai,1033,SaaS,2004,1,2733.29,8,5,1623.79,47.35,Series F,1563.66,-181.33
Gurucool,Delhi,109,EdTech,2021,1,1.14,1,0,0.015,-1.26,Seed,1.27,-44.05101
Gyde,Pune,13,SaaS,2019,1,1.85,1,0,0.8525,0.0175,Seed,0.8273,-15.59345238
Gynoveda,Mumbai,84,Healthcare,2019,1,82.71,1,0,57.35,-10.89,Series A,68.25,-5.41
Habbit,Delhi,22,Healthcare,2019,1,7.84,2,0,1.41,-0.7376,Seed,2.14,-7.033972414
Haber,Pune,104,Deeptech,2017,1,197.78,3,0,82.8,-36.78,Series B,119.57,-49.75
Hair Originals,Gurugram,33,Beauty & Wellness,2018,1,26.58,5,0,7.46,-4.16,pre-Series A,11.62,-7.256666667
HALA,Hyderabad,12,Automotive Tech,2019,1,7.78,1,0,4.89,-0.2243,Seed,5.18,-75.86182381
Hangyo,Mangalore,149,Food & Beverages,2002,1,242.49,2,0,238.62,5.6,Series B,229.1,24.4
Happay,Bengaluru,446,SaaS,2012,0,150.68,9,0,106.5,-65.37,Series B,171.7,-110.09
Happilo,Bengaluru,98,"D2C,",2016,1,274.05,2,0,303.95,-108.86,Series B,412.75,-155.7
Happy,Mumbai,41,Fintech,2016,1,148.99,4,0,8.52,-10.81,Debt Financing,,-32.34
Happy Nature,Delhi,32,Food & Beverages,2018,1,8.39,2,0,21.14,-4.2,Pre-Series A,25.54,-8.97
Hasura,Bengaluru,190,SaaS,2017,1,1011.39,5,0,11400,-0.0006279,Series C,,-15.59345238
Hatica,Gurugram,50,SaaS,2019,1,6.75,1,0,16150,-0.0134,Seed,,-15.59345238
HCAH,Noida,451,Healthcare,2012,1,476.63,7,4,113.36,-37.99,Series B,148.24,-30.84
Headfone,Bengaluru,122,"Streaming,",2018,1,103.81,5,0,2.54,-14.74,Series C,17.28,-21.01
Heads Up for Tails,Gurugram,371,Pet Care,2008,1,365.16,4,0,140.67,-71,Series A,212,-66.86
Healofy,Bengaluru,150,Healthcare,2016,1,133.32,9,0,18.18,-35.51,Series B,53.88,-29.06
HealthFab,Bengaluru,7,E-commerce,2019,1,2.17,1,0,3.3,-1.32,Seed,4.62,-154.0354023
Healthians,Gurugram,1031,Healthcare,2013,1,548.57,11,1,235.81,-129.29,Series C,365.1,-143.71
