name,Headquarters,Employees,Industry,Founded At,Status,Total Funding,Funding Rounds,Number of Acquisitions,FY 2022-23 Revenue,Profit_Loss,Latest Funding Round,FY 2022-23 Expenses,Net Cash Flow From Operations
DMI Finance,Delhi,419,Fintech,2008,1,11992.93,11,2,1662.04,314.51,Series G,1229.54,-1680.59
D-Nome,Hyderabad,3,Healthcare,2021,1,12.76,3,0,0.1121,-0.4015,Seed,0.514,-7.033972414
Doceree,Delhi,143,"Adtech,",2019,1,495.8,5,0,26.64,-1.53,Series B,28.17,-0.5492
DocPlix,Lucknow,44,Healthcare,2021,1,9.08,3,0,0.2229,-1.56,Series A,1.78,-7.033972414
Dogsee Chew,Bengaluru,29,Pet Care,2015,1,104.45,4,0,98.7,-26.31,Series A,125.4,-44.33
Done Deal,Mumbai,16,SaaS,2022,1,6.66,1,0,,-0.1763,Seed,0.1762999999999999,-15.59345238
Dorje Teas,Darjeeling,4,Food & Beverages,2021,1,0.2481,1,0,1.26,-0.4997,Angel,1.76,-8.97
DotPe,Gurugram,551,E-commerce,2019,1,715.48,3,1,36.87,-71.3,Series B,108.17,-83.97
Doubtnut,Gurugram,1169,EdTech,2016,0,378.02,7,0,21.7,-76.34,Convertible Notes,98.04,-58.21
Dozee,Bengaluru,253,Healthcare,2015,1,235.74,9,0,3.42,-84.43,Series A,87.85,-73.12
DPDzero,Bengaluru,16,Fintech,2022,1,31.02,2,0,3.96,0.2865,Seed,3.58,0.1589
Dream11,Mumbai,1463,Gaming,2008,1,11536.89,4,2,6580.84,187.83,Series E,5838.73,1481.04
DrinkPrime,Bengaluru,130,Consumer Tech,2016,1,136.51,12,0,30.1,-27.38,Debt Financing,57.48,8.076666666666666
Drivers4Me,Kolkata,36,Automotive Tech,2018,1,3,1,0,0.9449,0.0415,Seed,0.8887,-75.86182381
Drivio,Gurugram,26,Fintech,2022,1,8.28,1,0,1.57,-0.5199,Seed,2.09,-0.887
Drona Pay,Mumbai,21,Fintech,2021,1,3.2,1,0,1.35,-2.55,Seed,3.91,-1.98
Droom,Gurugram,383,E-commerce,2014,1,2376.82,9,1,262.62,-62.14,Series E,325.36,-60.71
Druva,Pune,1236,"SaaS,",2008,1,3281.64,10,3,345.73,30.69,Series H,305.21,15.68
DSLR Technologies,Bengaluru,44,E-commerce,2021,1,53.66,1,0,2.66,-10.04,Seed,12.5,-154.0354023
Dunzo,Bengaluru,3201,Quick Commerce,2014,1,3628.73,21,0,252.6,-1801.8,Convertible Notes,2054.4,-1299.2
Duroflex,Bengaluru,457,E-commerce,1963,1,614.54,3,0,1070.27,-15.47,Series C,1074.76,70.4
DUX Education,Bengaluru,27,EdTech,2020,1,2,2,0,0.9859,-0.0109,Seed,0.9968,-44.05101
Dvara SmartGold,Mumbai,31,Fintech,2019,1,14.93,1,0,18.06,-7.95,Seed,26.02,-6.07
DWIJA FOODS,Mumbai,22,Foodtech,2020,1,5.11,1,0,11.05,-0.5642,Seed,11.57,-37.3
Dybo,Bengaluru,4,"SaaS,",2019,1,1.2,1,0,0.0591,-0.4291,Seed,0.4931,3.32288
E42,Pune,86,Artificial Intelligence/Machine Learning,2012,1,40.53,1,0,8.85,-20.7,Series A,21.67,-11.63
Early Steps Academy,Bengaluru,33,EdTech,2021,1,9,1,0,2.26,-0.8747,Seed,3.13,-44.05101
Earth Rhythm,Gurugram,58,"D2C,",2020,1,69.42,2,0,26.02,-16.53,Series A,46.13,-96.88033333
Easebuzz,Pune,296,Fintech,2014,1,29.35,1,0,235.98,0.94,Seed,234.76,28.25
EaseMyTrip,Delhi,844,Travel Tech,2008,1,84.67,1,5,609.08,103.46,Post-IPO,,124.11
Easy to Pitch,Delhi,27,Fintech,2017,1,0.9593,1,0,0.5937,-0.1339,Seed,,-145.3999127
EasyEcom,Bengaluru,112,SaaS,2015,1,13.46,3,0,7.01,-4.4,Series A,12.6,-4.6
EasyRewardz,Gurugram,260,SaaS,2011,1,81.14,11,0,45.65,-19.59,Series B,65.25,-18.3
Eat Better,Jaipur,16,Food & Beverages,2020,1,5.31,2,0,5.54,-1.18,Seed,6.72,-8.97
Ecom Express,Gurugram,8444,Logistics/Supply Chain,2012,1,2077.93,11,0,2652.89,-255.87,Series C,,313.32
Ecozen,Pune,143,Deeptech,2010,1,377.46,10,0,295.49,5.76,Series C,289.56,-55.66
EdgeGrid,Hyderabad,18,Cleantech,2020,1,45.48,1,0,1.45,-4.28,Seed,5.74,-5.08
Edmingle,Bengaluru,32,EdTech,2016,1,10.37,2,0,1.59,-0.4313,Seed,,0.3712
EduFund,Ahmedabad,41,Fintech,2020,1,41.01,6,0,3.01,-5.8,pre-Series A,,-10.35
EduGorilla,Lucknow,184,EdTech,2016,1,30.64,5,0,11.15,-0.7616,Seed,12.27,-44.05101
Edukemy,Bengaluru,56,EdTech,2000,1,14.78,1,0,7.63,-4.9,Seed,12.54,-3.62
Eduncle,Kota,181,EdTech,2016,1,7.37,1,0,5.24,-2.58,Seed,7.81,-44.05101
Edustoke,Bengaluru,58,EdTech,2016,1,3,1,0,6.49,0.4079,Seed,7.4,-1.36
Eduvanz,Mumbai,271,Fintech,2016,1,411.51,13,1,52.38,-43.15,Series B,95.52,-205.27
Edverse,Gurugram,41,EdTech,2022,1,5.38,1,0,,-0.00062242,Seed,,-44.05101
Edvizo,Bengaluru,53,EdTech,2017,1,9.71,3,0,0.1045,-1.9,Angel,2,-44.05101
Eeki Foods,Kota,68,"Agritech,",2018,1,81.38,6,0,20.66,-4.59,Series A,25,-3.36
Eggoz Nutrition,Gurugram,102,Agritech,2017,1,119.51,7,0,55.48,-32.88,Series B,58.37,-26.07
Ekank Technologies,Delhi,63,Media,2020,1,7.5,1,0,3.2,-4.75,Seed,7.96,-62.07680742
Ekincare,Hyderabad,259,Healthcare,2014,1,161.79,6,0,40.87,-47.27,Series B,88.39,-50.11
ElasticRun,Pune,2777,Logistics/Supply Chain,2016,1,3409.41,7,0,4851.09,-618.82,Series E,5469.91,-493.72
ElectricPe,Bengaluru,70,Automotive Tech,2021,1,104.97,6,0,0.67,-11.02,pre-Series A,11.63,-75.86182381
Electrifuel,Gurugram,28,Manufacturing,2017,1,1.8,1,0,3.64,-0.2903,Seed,3.93,-1.44
Elemential Labs,Mumbai,5,SaaS,2015,0,6.62,2,0,0.0136,-1.64,Angel,,-15.59345238
Elevar Sports,Mumbai,18,E-commerce,2017,1,29.84,3,0,4.75,-3.51,Series A,8.26,-5.29
Elever,Bengaluru,15,Fintech,2020,1,5.89,2,0,0.0484,-5.12,Seed,6.72,-4.98
Eloelo,Bengaluru,106,"Streaming,",2020,1,298.79,4,0,2.07,-43.35,Series B,45.43,-21.01
Emflux Motors,Bengaluru,9,Automotive Tech,2016,1,5,4,0,0.4503,-0.2736,Seed,,-75.86182381
Emiza,Mumbai,100,Logistics/Supply Chain,2015,1,83.95,6,1,72.66,5.37,Series B,67.28,2.83
EMotorad,Pune,97,Automotive Tech,2020,1,213.28,4,0,127.95,-9.66,Series B,137.79,1.04
EndureAir,Noida,43,Drone,2019,1,13.51,1,0,2.33,-3.05,Seed,5.39,-8.22
Enercomp,Ahmedabad,52,Drone,2013,1,4.1,2,0,3.09,0.1432,Seed,2.95,-1.5
EnggOnline,Mumbai,35,EdTech,2005,1,26.58,1,0,0.8918,-5.31,pre-Series A,6.2,-2.2
Enkash,Mumbai,166,SaaS,2018,1,174.89,3,0,193.62,-38.46,Series B,232.08,-63.81
ENSUREDIT,Gurugram,52,Insurance,2019,1,39.04,4,0,15.95,-4.21,pre-Series A,17.31,-68.7766
Entero Healthcare,Faridabad,3111,Healthcare,2018,1,552.88,4,0,3305.72,-11.1,Series B,3309.4,-45.31
Entropik,Bengaluru,204,Artificial Intelligence/Machine Learning,2016,1,274.69,5,0,47.53,-27.02,Series B,74.55,-59.97
Entuple E-Mobility,Bengaluru,34,Automotive Tech,2019,1,24.89,2,0,0.289,-4.4,Seed,4.68,-4.69
EON Space Labs,Hyderabad,7,Space Tech,2021,1,4.19,1,0,0.1484,-0.1384,Seed,0.2843,-9.6239
Epigamia,Mumbai,211,"Food & Beverages,",2015,1,597.63,20,0,172.02,-67.01,Series D,239.03,-56.51
Epigeneres Biotech,Mumbai,58,"Healthcare,",2008,1,57.17,2,0,3.48,-9.72,Series B,14.38,-13.77
Erekrut,Delhi,260,HR Tech,2021,1,3.48,1,0,73720,-0.8927,pre-seed,0.8998999999999999,-43.73888889
Ergos,Bengaluru,303,Fintech,2012,1,177.91,8,0,224.35,-23.87,Series B,248.74,-21.73
Eruditus,Mumbai,154,EdTech,2010,1,4329.2,7,1,3364,-1049,Debt-Financing,4392,-686.35
Eske Paris,Mumbai,43,E-commerce,2012,1,14.99,2,0,8.51,-2.4,pre-Series A,10.91,-154.0354023
Ethereal Machines,Bengaluru,34,Deeptech,2014,1,175.33,3,0,2.66,-4.69,Pre-Series B,8.96,-4.61
Euler Motors,Delhi,362,Automotive Tech,2018,1,987.18,8,0,65.5,-174.73,Series C,240.14,-246.52
Eupheus Learning,Delhi,206,EdTech,2017,1,132.22,7,0,103.89,-19.92,Series C,125.58,-30.53
EVage,Chandigarh,68,Logistics/Supply Chain,2014,1,242.54,3,0,3.23,-24.25,Seed,27.35,-53.11
EVELABS,Thiruvananthapuram,19,Healthcare,2016,1,2.68,5,0,0.6687000000000001,-0.3396,Seed,0.1128999999999999,-7.033972414
Even,Bengaluru,242,Healthcare,2020,1,325.88,3,0,5.29,-41.2,Series A,47.34,-42.58
Evenflow,Bengaluru,59,E-commerce,2021,1,48.62,3,8,5.01,-9.03,pre-Series A,,-11.94
Everest Fleet,Mumbai,477,Automotive Tech,2016,1,619.62,6,0,469.45,41.22,Series C,414.36,84.47
Evify,Surat,14,Logistics/Supply Chain,2021,1,13.21,3,0,1.06,-2.26,pre-Series A,3.31,-9.511538462
Excess2Sell,Mumbai,13,E-commerce,2016,1,9.78,4,0,361.84,-3.27,Angel,365.19,-0.6606
Exotel,Bengaluru,448,"Enterprise Tech,",2011,1,645.57,6,3,446.66,-109.43,Series D,555.53,-108.43
Expertrons,Mumbai,525,EdTech,2019,1,45.81,4,1,14.44,-14.16,Series A,33.72,-15.58
Exponent Energy,Bengaluru,126,Renewable Energy,2020,1,380.72,5,0,0.2127,-2.18,Series B,,-3.56
Exprs,Hyderabad,24,Logistics/Supply Chain,2018,1,8,3,0,6.62,-1.3,Seed,7.93,-9.511538462
Exprto,Gurugram,80,EdTech,2021,1,5,1,0,0.7523000000000001,-0.0956,Seed,0.8386,-44.05101
Extramarks,Noida,4329,EdTech,2007,1,287.23,3,0,373.69,-330.6,Series C,694.17,-214.61
EyeMyEye,Gurugram,120,E-commerce,2021,1,90.87,4,0,32.45,-19.36,pre-Series A,51.82,-11.4
Eyestem,Bengaluru,19,Healthcare,2015,1,76.48,6,0,1.22,-13.1,Series A,14.32,-9.27
F5,Delhi,14,Foodtech,2018,1,13.95,3,0,1.24,-1.62,Angel,,-1.47
Faarms,Bengaluru,82,Agritech,2020,1,94.6,2,0,22.52,-3.85,Seed,27.62,-10.07
FabAlley,Noida,118,E-commerce,2012,1,179.72,13,0,189.79,-45.52,Series C,235.31,-42.08
FabHotels,Gurugram,717,Hospitality,2014,1,476.55,9,0,230.88,-5.22,Series C,236.1,-8.35
Fabindia,Delhi,2722,E-commerce,1960,1,297.7,5,0,1668.24,-121.07,Series B,1730.36,241.04
Fabriclore,Jaipur,55,Logistics/Supply Chain,2016,1,22.58,3,0,10.32,-4.19,Seed,14.49,-4.41
Fae Beauty,Mumbai,21,Beauty & Wellness,2019,1,10.07,6,0,3.14,-2.65,Seed,5.79,-7.256666667
FairTok,Kerala,15,Social Media,2020,1,2,1,0,,-0.0414,Seed,0.0414,-26.35
Falca,Bengaluru,52,Agritech,2018,1,25.15,3,0,289.31,-5.32,Seed,294.66,-23.1
FamPay,Bengaluru,164,Fintech,2019,1,314.33,3,0,17.01,-119.55,Series A,136.56,-109.57
FanClash,Gurugram,95,Gaming,2020,1,389.66,3,0,0.131,-2.21,Series B,2.34,-0.6104
Fanztar,Gurugram,13,Social Media,2022,1,5,1,0,0.1682,-2.23,Seed,2.4,-26.35
FarEye,Noida,647,Logistics/Supply Chain,2013,1,1105.12,9,2,166.4,-243.35,Series E,409.75,-261.21
FarMart,Gurugram,372,Agritech,2015,1,406.9,8,1,1044.3,-49.06,Debt Financing,1093.37,-164.09
Fasal,Bengaluru,205,Agritech,2018,1,153.61,5,0,35.5,-34.02,Series A,,-3.1
Fashinza,Gurugram,328,"B2B,",2020,1,1192.69,6,0,32.54,-5.35,Series C,,-3.78
FeetWings,Delhi,5,Healthcare,2019,1,1.11,1,0,,-0.0394,Seed,0.0533,-7.033972414
Fello,Bengaluru,27,Fintech,2021,1,8.72,4,0,0.5555,-4.77,Series A,5.33,-145.3999127
Fibmold,Mumbai,74,Cleantech,2022,1,105.15,2,0,0.3285,-0.1193,Series A,0.4478,3.0675
Fibroheal Woundcare,Bengaluru,20,Healthcare,2017,1,9.88,6,0,2.3,-1.3,Seed,3.52,-7.033972414
Fieldproxy,Chennai,40,SaaS,2016,1,7.95,3,0,0.144,-0.7385,Seed,0.8826,-15.59345238
FIITJEE,Delhi,3017,EdTech,1992,1,100,2,0,577.69,-68.62,Private Equity,630.9,-8.2
FinBox,Mumbai,97,Fintech,2015,1,124.4,3,0,36.2,-23.09,Series A,59.12,-145.3999127
Fingpay,Mumbai,39,Fintech,2016,1,27.99,2,0,143.11,8.74,Series A,131.81,19.83
Finnable,Bengaluru,242,Fintech,2016,1,41.6,2,0,100.32,-19.5,Series A,119.81,-10.9
Fino Payments Bank,Mumbai,5186,Fintech,2017,1,157.5,3,0,1478.38,86.22,Series A,,56.78
Fintso,Mumbai,69,Fintech,2019,1,33.97,2,1,4.65,-14.65,Series A,19.37,4.1
First Games,Noida,105,Gaming,2018,1,253.99,2,0,495.75,-22.84,Corporate Round,519.19,16.2
FirstCry,Pune,3268,E-commerce,2010,1,5807.58,10,3,6575.08,-321.5,Series E,,-42.07
FirstCure Health,Noida,13,Healthcare,2021,1,2.7,1,0,0.6347,-0.5564,pre-seed,1.19,-7.033972414
Fisdom,Bengaluru,375,Fintech,2015,1,359.31,8,1,67.47,-70.52,Series C,137.99,-98.29
Fitspire,Delhi,29,Fitness/Nutrition Brand,2020,1,4.94,4,0,3.36,-1.59,Seed,5.64,-44.14
Fitterfly,Mumbai,271,Healthcare,2016,1,118.45,2,0,5.15,-38.81,Series A,43.96,-35.06
Fittr,Pune,476,Fitness/Nutrition Brand,2016,1,129.1,4,0,86.11,-41.17,Series A,127.28,-44.14
Five Star,Chennai,705,Fintech,1984,1,5263.71,19,0,2195.1,835.91,Debt Financing,,-2122.34
Fixigo,Delhi,73,Automotive Tech,2018,1,3.69,1,0,6.22,-2.5,Seed,9.61,-75.86182381
FlashPrep,Bengaluru,6,EdTech,2020,1,7.39,2,0,2,-0.6162,Seed,,-44.05101
Flatheads,Bengaluru,64,"D2C,",2018,1,19.99,6,0,1.56,-3.11,Angel,4.68,-0.491
Fleek,Bengaluru,58,Fintech,2021,1,7.47,1,0,6.17,-17.24,Seed,23.5,-145.3999127
Fleetx,Gurugram,400,Logistics/Supply Chain,2017,1,195.19,6,0,46.15,-54.33,Series B,88.22,-9.511538462
FlexC,Gurugram,45,HR Tech,2020,1,3.57,1,0,1.87,-1.46,Seed,3.86,-43.73888889
FlexifyMe,Pune,35,Healthcare,2021,1,20.61,4,0,2.25,1.68,Seed,3.72,-7.033972414
FlexiLoans,Mumbai,227,Fintech,2016,1,1421.74,9,1,262.89,3.03,Series C,,46.75
Flickstree,Mumbai,52,Adtech,2016,1,74.13,6,0,46.85,-3.29,Series A,50.11,-2.65
Flintobox,Chennai,57,EdTech,2013,1,130.52,8,0,14.87,-5.6,Pre-Series B,20.96,-7.71
Flipkart,Bengaluru,46705,E-commerce,2007,1,92492.34,24,21,15044,-4026.5,Undisclosed,19043,-2663.1
Flo Mobility,Bengaluru,17,Robotics,2020,1,3,1,0,0.327,-1.24,Seed,1.56,-133.09
